timestamp_utc,price_eur_per_mwh,price_eur_per_kwh
2026-08-26 16:00:00,29.44,0.02944
2026-08-26 17:00:00,56.58,0.05658
2026-08-26 18:00:00,90.12,0.09012
2026-08-26 19:00:00,124.05,0.12405
2026-08-26 20:00:00,129.15,0.12915
2026-08-26 21:00:00,106.15,0.10615
2026-08-26 22:00:00,84.31,0.08431
2026-08-26 23:00:00,57.65,0.05765
2026-08-27 00:00:00,43.63,0.04363
2026-08-27 01:00:00,44.19,0.04419
2026-08-27 02:00:00,36.66,0.03666
2026-08-27 03:00:00,35.65,0.03565
2026-08-27 04:00:00,40.83,0.04083
2026-08-27 05:00:00,40.14,0.04014
2026-08-27 06:00:00,60.98,0.06098
2026-08-27 07:00:00,83.22,0.08322
2026-08-27 08:00:00,97.19,0.09719
2026-08-27 09:00:00,93.16,0.09316
2026-08-27 10:00:00,59.66,0.05966
2026-08-27 11:00:00,29.39,0.02939
2026-08-27 12:00:00,28.34,0.02834
2026-08-27 13:00:00,14.73,0.01473
2026-08-27 14:00:00,14.05,0.01405
2026-08-27 15:00:00,11.33,0.01133
2026-08-27 16:00:00,26.3,0.0263
2026-08-27 17:00:00,59.24,0.05924
2026-08-27 18:00:00,83.57,0.08357
2026-08-27 19:00:00,120.44,0.12044
2026-08-27 20:00:00,129.04,0.12904
2026-08-27 21:00:00,107.43,0.10743
2026-08-27 22:00:00,76.04,0.07604
2026-08-27 23:00:00,64.08,0.06408
2026-08-28 00:00:00,51.94,0.05194
2026-08-28 01:00:00,43.24,0.04324
2026-08-28 02:00:00,48.7,0.0487
2026-08-28 03:00:00,38.51,0.03851
2026-08-28 04:00:00,46.94,0.04694
2026-08-28 05:00:00,46.18,0.04618
2026-08-28 06:00:00,69.02,0.06902
2026-08-28 07:00:00,92.89,0.09289
2026-08-28 08:00:00,111.32,0.11132
2026-08-28 09:00:00,98.77,0.09877
2026-08-28 10:00:00,69.48,0.06948
2026-08-28 11:00:00,40.65,0.04065
