pump_id,manufacturer,model,displacement_cc,rated_rpm,pressure_bar,flow_lpm,displacement_fraction,shaft_power_kw,overall_efficiency
pump_1,Bosch Rexroth,A4VSO 250,250,1500,20.0,0.0,0.0,7.5,0.00
pump_1,Bosch Rexroth,A4VSO 250,250,1500,50.0,73.0,0.2,8.2,0.742
pump_1,Bosch Rexroth,A4VSO 250,250,1500,100.0,72.5,0.2,14.6,0.828
pump_1,Bosch Rexroth,A4VSO 250,250,1500,150.0,72.0,0.2,21.4,0.841
pump_1,Bosch Rexroth,A4VSO 250,250,1500,200.0,71.5,0.2,28.7,0.831
pump_1,Bosch Rexroth,A4VSO 250,250,1500,250.0,71.0,0.2,36.6,0.808
pump_1,Bosch Rexroth,A4VSO 250,250,1500,300.0,70.5,0.2,45.2,0.780
pump_1,Bosch Rexroth,A4VSO 250,250,1500,50.0,146.0,0.4,14.5,0.839
pump_1,Bosch Rexroth,A4VSO 250,250,1500,100.0,145.5,0.4,27.2,0.892
pump_1,Bosch Rexroth,A4VSO 250,250,1500,150.0,145.0,0.4,40.1,0.904
pump_1,Bosch Rexroth,A4VSO 250,250,1500,200.0,144.5,0.4,53.8,0.895
pump_1,Bosch Rexroth,A4VSO 250,250,1500,250.0,144.0,0.4,68.2,0.880
pump_1,Bosch Rexroth,A4VSO 250,250,1500,300.0,143.5,0.4,83.9,0.855
pump_1,Bosch Rexroth,A4VSO 250,250,1500,50.0,219.0,0.6,21.1,0.865
pump_1,Bosch Rexroth,A4VSO 250,250,1500,100.0,218.5,0.6,39.9,0.913
pump_1,Bosch Rexroth,A4VSO 250,250,1500,150.0,218.0,0.6,59.1,0.922
pump_1,Bosch Rexroth,A4VSO 250,250,1500,200.0,217.5,0.6,79.0,0.918
pump_1,Bosch Rexroth,A4VSO 250,250,1500,250.0,217.0,0.6,99.8,0.906
pump_1,Bosch Rexroth,A4VSO 250,250,1500,300.0,216.5,0.6,122.3,0.885
pump_1,Bosch Rexroth,A4VSO 250,250,1500,50.0,292.0,0.8,27.8,0.875
pump_1,Bosch Rexroth,A4VSO 250,250,1500,100.0,291.5,0.8,52.8,0.920
pump_1,Bosch Rexroth,A4VSO 250,250,1500,150.0,291.0,0.8,78.2,0.930
pump_1,Bosch Rexroth,A4VSO 250,250,1500,200.0,290.5,0.8,104.3,0.928
pump_1,Bosch Rexroth,A4VSO 250,250,1500,250.0,290.0,0.8,131.5,0.919
pump_1,Bosch Rexroth,A4VSO 250,250,1500,300.0,289.5,0.8,160.8,0.900
pump_1,Bosch Rexroth,A4VSO 250,250,1500,50.0,365.0,1.0,34.6,0.879
pump_1,Bosch Rexroth,A4VSO 250,250,1500,100.0,364.5,1.0,65.8,0.923
pump_1,Bosch Rexroth,A4VSO 250,250,1500,150.0,364.0,1.0,97.3,0.935
pump_1,Bosch Rexroth,A4VSO 250,250,1500,200.0,363.5,1.0,129.6,0.935
pump_1,Bosch Rexroth,A4VSO 250,250,1500,250.0,363.0,1.0,163.1,0.927
pump_1,Bosch Rexroth,A4VSO 250,250,1500,300.0,362.5,1.0,199.2,0.910
pump_2,Bosch Rexroth,A4VSO 180,180,1500,20.0,0.0,0.0,5.8,0.00
pump_2,Bosch Rexroth,A4VSO 180,180,1500,50.0,52.5,0.2,6.0,0.729
pump_2,Bosch Rexroth,A4VSO 180,180,1500,100.0,52.2,0.2,10.6,0.821
