timestamp,cycle_id,phase_name,target_flow_lpm,target_pressure_bar,ram_position_mm
0.0,1,decompression,42.4,280.55,0.0
0.11,1,decompression,46.88,259.99,0.0
0.22,1,decompression,47.35,244.17,0.0
0.33,1,decompression,40.12,224.21,0.0
0.44,1,decompression,41.74,205.44,0.0
0.55,1,decompression,45.32,186.12,0.0
0.66,1,decompression,44.21,170.41,0.0
0.77,1,decompression,44.96,149.77,0.0
0.87,1,decompression,42.87,130.79,0.0
0.98,1,decompression,47.2,112.33,0.0
1.09,1,decompression,46.94,95.08,0.0
1.2,1,decompression,45.17,76.26,0.0
1.31,1,decompression,47.82,57.76,0.0
1.42,1,decompression,46.17,39.22,0.0
1.53,1,decompression,42.85,23.21,0.0
1.63,1,container_shift_open,173.72,61.17,0.0
1.73,1,container_shift_open,172.97,61.42,0.0
1.84,1,container_shift_open,176.54,61.59,0.0
1.94,1,container_shift_open,177.82,59.3,0.0
2.05,1,container_shift_open,174.72,59.08,0.0
2.15,1,container_shift_open,172.9,61.72,0.0
2.25,1,container_shift_open,172.94,59.62,0.0
2.36,1,container_shift_open,176.63,57.45,0.0
2.46,1,container_shift_open,176.86,57.73,0.0
2.57,1,container_shift_open,176.36,58.16,0.0
2.67,1,container_shift_open,173.34,60.99,0.0
2.77,1,container_shift_open,175.58,60.28,0.0
2.88,1,container_shift_open,175.29,61.38,0.0
2.98,1,container_shift_open,175.55,59.15,0.0
3.09,1,container_shift_open,177.18,60.32,0.0
3.19,1,container_shift_open,175.56,61.25,0.0
3.29,1,container_shift_open,176.7,59.38,0.0
3.4,1,container_shift_open,175.17,60.91,0.0
3.5,1,container_shift_open,175.72,58.68,0.0
3.61,1,container_shift_open,176.58,59.27,0.0
3.71,1,container_shift_open,171.36,59.24,0.0
3.81,1,container_shift_open,174.2,57.61,0.0
3.92,1,container_shift_open,173.82,60.97,0.0
4.02,1,container_shift_open,173.4,59.06,0.0
4.13,1,container_shift_open,174.31,60.02,0.0
4.23,1,container_shift_open,178.74,60.96,0.0
4.33,1,container_shift_open,172.84,60.89,0.0
4.44,1,container_shift_open,177.42,61.33,0.0
4.54,1,container_shift_open,170.79,59.8,0.0
4.65,1,container_shift_open,174.16,59.15,0.0
4.75,1,container_shift_open,175.41,59.84,0.0
4.85,1,shear_stroke,131.38,210.14,0.0
4.96,1,shear_stroke,131.69,208.94,0.0
5.07,1,shear_stroke,132.51,210.47,0.0
5.17,1,shear_stroke,136.0,210.04,0.0
5.28,1,shear_stroke,132.74,213.2,0.0
5.39,1,shear_stroke,134.05,209.52,0.0
5.5,1,shear_stroke,138.25,207.95,0.0
5.61,1,shear_stroke,134.11,210.36,0.0
5.71,1,shear_stroke,136.84,210.44,0.0
5.82,1,shear_stroke,132.67,212.72,0.0
5.93,1,shear_stroke,134.49,211.67,0.0
6.04,1,shear_stroke,132.62,210.71,0.0
6.15,1,shear_stroke,134.15,212.93,0.0
6.26,1,shear_stroke,137.1,207.62,0.0
6.36,1,shear_stroke,130.68,208.72,0.0
6.47,1,shear_stroke,136.09,208.15,0.0
6.58,1,shear_stroke,135.59,209.22,0.0
6.69,1,shear_stroke,133.51,207.25,0.0
6.8,1,shear_stroke,131.38,211.27,0.0
6.9,1,die_slide_shift,76.32,46.65,0.0
7.0,1,die_slide_shift,77.46,49.03,0.0
7.1,1,die_slide_shift,80.78,49.89,0.0
7.21,1,die_slide_shift,82.1,53.54,0.0
7.31,1,die_slide_shift,84.99,50.26,0.0
7.42,1,die_slide_shift,87.28,51.97,0.0
7.52,1,die_slide_shift,81.04,49.0,0.0
7.62,1,die_slide_shift,77.53,47.63,0.0
7.73,1,die_slide_shift,74.67,48.07,0.0
7.83,1,die_slide_shift,80.67,48.55,0.0
7.94,1,die_slide_shift,77.97,54.26,0.0
8.04,1,die_slide_shift,78.96,48.36,0.0
8.14,1,die_slide_shift,78.47,51.68,0.0
8.25,1,die_slide_shift,79.65,48.19,0.0
8.35,1,die_slide_shift,82.66,51.86,0.0
8.45,1,die_slide_shift,80.39,50.77,0.0
8.56,1,die_slide_shift,79.6,49.69,0.0
8.66,1,die_slide_shift,77.41,49.92,0.0
8.76,1,billet_load_and_seal,161.12,22.56,0.0
8.87,1,billet_load_and_seal,158.86,25.96,0.0
8.97,1,billet_load_and_seal,156.94,29.76,0.0
9.07,1,billet_load_and_seal,156.81,34.97,0.0
9.18,1,billet_load_and_seal,160.43,33.2,0.0
9.28,1,billet_load_and_seal,163.95,38.63,0.0
9.39,1,billet_load_and_seal,160.4,40.32,0.0
9.49,1,billet_load_and_seal,159.7,43.34,0.0
9.59,1,billet_load_and_seal,160.71,48.72,0.0
9.7,1,billet_load_and_seal,163.27,50.5,0.0
9.8,1,billet_load_and_seal,160.55,54.82,0.0
9.91,1,billet_load_and_seal,158.97,54.55,0.0
10.01,1,billet_load_and_seal,162.77,56.18,0.0
10.11,1,billet_load_and_seal,161.07,59.84,0.0
10.22,1,billet_load_and_seal,163.84,63.48,0.0
10.32,1,billet_load_and_seal,160.46,66.07,0.0
10.43,1,billet_load_and_seal,156.94,66.26,0.0
10.53,1,billet_load_and_seal,156.58,71.32,0.0
10.63,1,billet_load_and_seal,164.13,74.31,0.0
10.74,1,billet_load_and_seal,164.31,81.61,0.0
10.84,1,billet_load_and_seal,159.55,83.04,0.0
10.94,1,billet_load_and_seal,159.04,80.29,0.0
11.05,1,billet_load_and_seal,163.65,84.14,0.0
11.15,1,billet_load_and_seal,157.23,84.5,0.0
11.26,1,billet_load_and_seal,157.76,88.96,0.0
11.36,1,billet_load_and_seal,161.61,93.49,0.0
11.46,1,billet_load_and_seal,159.01,97.98,0.0
11.57,1,billet_load_and_seal,159.99,96.83,0.0
11.67,1,billet_load_and_seal,159.59,99.69,0.0
11.78,1,billet_load_and_seal,160.84,99.42,0.0
11.88,1,billet_load_and_seal,163.52,106.1,0.0
11.98,1,billet_load_and_seal,160.23,107.02,0.0
12.09,1,billet_load_and_seal,161.61,110.8,0.0
12.19,1,billet_load_and_seal,154.87,112.82,0.0
12.3,1,billet_load_and_seal,159.88,117.1,0.0
12.4,1,billet_load_and_seal,157.89,116.48,0.0
12.5,1,main_extrusion_stroke,247.72,184.02,0.0
12.6,1,main_extrusion_stroke,244.3,186.33,2.3
12.7,1,main_extrusion_stroke,255.32,193.64,4.6
12.8,1,main_extrusion_stroke,277.3,194.3,6.9
12.9,1,main_extrusion_stroke,291.83,189.89,9.1
13.0,1,main_extrusion_stroke,285.77,200.55,11.4
13.1,1,main_extrusion_stroke,299.24,199.38,13.7
13.2,1,main_extrusion_stroke,312.33,208.51,16.0
13.3,1,main_extrusion_stroke,328.13,204.5,18.3
13.4,1,main_extrusion_stroke,327.52,207.12,20.6
13.5,1,main_extrusion_stroke,340.73,213.89,22.9
13.6,1,main_extrusion_stroke,355.08,217.32,25.1
13.7,1,main_extrusion_stroke,363.96,218.87,27.4
13.8,1,main_extrusion_stroke,370.96,214.05,29.7
13.9,1,main_extrusion_stroke,382.18,224.48,32.0
14.0,1,main_extrusion_stroke,387.47,221.63,34.3
14.1,1,main_extrusion_stroke,402.27,228.72,36.6
14.2,1,main_extrusion_stroke,412.41,225.57,38.9
14.3,1,main_extrusion_stroke,424.65,234.76,41.1
14.4,1,main_extrusion_stroke,431.76,233.03,43.4
14.5,1,main_extrusion_stroke,446.11,234.01,45.7
14.6,1,main_extrusion_stroke,458.53,243.65,48.0
14.7,1,main_extrusion_stroke,465.35,244.65,50.3
14.8,1,main_extrusion_stroke,476.39,244.3,52.6
14.9,1,main_extrusion_stroke,485.45,254.18,54.9
15.0,1,main_extrusion_stroke,495.49,250.21,57.1
15.1,1,main_extrusion_stroke,502.85,254.51,59.4
15.2,1,main_extrusion_stroke,517.25,257.99,61.7
15.3,1,main_extrusion_stroke,525.85,257.53,64.0
15.4,1,main_extrusion_stroke,544.86,264.0,66.3
15.5,1,main_extrusion_stroke,553.04,263.13,68.6
15.6,1,main_extrusion_stroke,558.54,266.21,70.9
15.71,1,main_extrusion_stroke,564.19,275.07,73.1
15.81,1,main_extrusion_stroke,573.05,269.31,75.4
15.91,1,main_extrusion_stroke,592.51,267.16,77.7
16.01,1,main_extrusion_stroke,599.05,283.89,80.0
16.11,1,main_extrusion_stroke,598.94,289.82,82.3
16.21,1,main_extrusion_stroke,589.06,282.13,84.6
16.31,1,main_extrusion_stroke,598.76,279.42,86.9
16.41,1,main_extrusion_stroke,595.89,287.76,89.1
16.51,1,main_extrusion_stroke,588.64,290.5,91.4
16.61,1,main_extrusion_stroke,590.22,293.49,93.7
16.71,1,main_extrusion_stroke,592.17,292.9,96.0
16.81,1,main_extrusion_stroke,590.35,298.54,98.3
16.91,1,main_extrusion_stroke,587.99,298.05,100.6
17.01,1,main_extrusion_stroke,587.76,290.69,102.9
17.11,1,main_extrusion_stroke,586.18,298.08,105.1
17.21,1,main_extrusion_stroke,586.82,302.52,107.4
17.31,1,main_extrusion_stroke,591.11,295.65,109.7
17.41,1,main_extrusion_stroke,573.97,293.57,112.0
17.51,1,main_extrusion_stroke,582.31,293.96,114.3
17.61,1,main_extrusion_stroke,582.98,296.32,116.6
17.71,1,main_extrusion_stroke,582.48,287.82,118.9
17.81,1,main_extrusion_stroke,578.82,294.16,121.1
17.91,1,main_extrusion_stroke,572.3,291.92,123.4
18.01,1,main_extrusion_stroke,579.65,299.46,125.7
18.11,1,main_extrusion_stroke,584.27,292.09,128.0
18.21,1,main_extrusion_stroke,570.24,298.25,130.3
18.31,1,main_extrusion_stroke,578.85,288.26,132.6
18.41,1,main_extrusion_stroke,573.1,293.88,134.9
18.51,1,main_extrusion_stroke,573.18,292.65,137.1
18.61,1,main_extrusion_stroke,568.23,288.2,139.4
18.71,1,main_extrusion_stroke,570.13,291.57,141.7
18.81,1,main_extrusion_stroke,575.68,294.9,144.0
18.91,1,main_extrusion_stroke,571.83,289.23,146.3
19.01,1,main_extrusion_stroke,575.44,284.15,148.6
19.11,1,main_extrusion_stroke,572.24,289.72,150.9
19.21,1,main_extrusion_stroke,568.3,286.33,153.1
19.31,1,main_extrusion_stroke,572.54,288.0,155.4
19.41,1,main_extrusion_stroke,566.34,288.62,157.7
19.51,1,main_extrusion_stroke,566.91,282.64,160.0
19.61,1,main_extrusion_stroke,561.43,282.66,162.3
19.71,1,main_extrusion_stroke,561.9,289.71,164.6
19.81,1,main_extrusion_stroke,557.86,285.9,166.9
19.91,1,main_extrusion_stroke,563.63,278.46,169.1
20.01,1,main_extrusion_stroke,553.97,289.89,171.4
20.11,1,main_extrusion_stroke,560.83,287.81,173.7
20.21,1,main_extrusion_stroke,555.96,284.06,176.0
20.31,1,main_extrusion_stroke,560.42,281.66,178.3
20.41,1,main_extrusion_stroke,557.76,288.9,180.6
20.51,1,main_extrusion_stroke,561.05,286.91,182.9
20.61,1,main_extrusion_stroke,555.71,293.73,185.1
20.71,1,main_extrusion_stroke,545.52,286.57,187.4
20.81,1,main_extrusion_stroke,550.56,286.16,189.7
20.91,1,main_extrusion_stroke,545.15,283.93,192.0
21.02,1,main_extrusion_stroke,546.78,287.08,194.3
21.12,1,main_extrusion_stroke,553.92,286.12,196.6
21.22,1,main_extrusion_stroke,549.44,288.02,198.9
21.32,1,main_extrusion_stroke,543.11,281.52,201.1
21.42,1,main_extrusion_stroke,540.87,281.53,203.4
21.52,1,main_extrusion_stroke,544.07,281.08,205.7
21.62,1,main_extrusion_stroke,538.09,285.23,208.0
21.72,1,main_extrusion_stroke,539.29,287.42,210.3
21.82,1,main_extrusion_stroke,542.24,280.27,212.6
21.92,1,main_extrusion_stroke,544.63,280.1,214.9
